DC Offset	Amplitude	Zfreq	Zreal	Zimag	Zphz	Zmod
0.450000	0.001500	500015.625000	0.029714	0.022776	37.469933	0.037439	
0.450000	0.001500	445640.625000	-0.001062	0.042368	91.436035	0.042381	
0.450000	0.001500	397171.875000	-0.000118	0.040012	90.168266	0.040012	
0.450000	0.001500	354046.875000	0.000853	0.038331	88.725662	0.038340	
0.450000	0.001500	315515.625000	0.000811	0.034190	88.641724	0.034200	
0.450000	0.001500	281203.125000	0.001341	0.030258	87.462250	0.030288	
0.450000	0.001500	250640.625000	0.003238	0.029623	83.762428	0.029800	
0.450000	0.001500	223359.375000	0.001961	0.026345	85.742714	0.026418	
0.450000	0.001500	199078.125000	0.001815	0.023492	85.582413	0.023562	
0.450000	0.001500	177421.875000	0.002034	0.021112	84.496147	0.021210	
0.450000	0.001500	158203.125000	0.002088	0.019050	83.744232	0.019165	
0.450000	0.001500	140953.125000	0.002184	0.017341	82.822365	0.017478	
0.450000	0.001500	125671.875000	0.002126	0.015617	82.247353	0.015761	
0.450000	0.001500	111984.375000	0.002135	0.014051	81.359459	0.014212	
0.450000	0.001500	99796.875000	0.002178	0.012715	80.279144	0.012901	
0.450000	0.001500	88921.875000	0.002124	0.011488	79.524162	0.011683	
0.450000	0.001500	79265.625000	0.002072	0.010360	78.689217	0.010565	
0.450000	0.001500	70640.625000	0.002016	0.009369	77.853958	0.009583	
0.450000	0.001500	62953.125000	0.001904	0.008455	77.308823	0.008667	
0.450000	0.001500	56109.375000	0.001836	0.007655	76.516388	0.007872	
0.450000	0.001500	50015.625000	0.001736	0.006940	75.958023	0.007154	
0.450000	0.001500	44578.125000	0.001662	0.006267	75.143967	0.006483	
0.450000	0.001500	39796.875000	0.001579	0.005688	74.484520	0.005904	
0.450000	0.001500	35484.375000	0.001488	0.005144	73.868736	0.005355	
0.450000	0.001500	31640.625000	0.001415	0.004664	73.125534	0.004874	
0.450000	0.001500	28171.875000	0.001335	0.004215	72.428543	0.004421	
0.450000	0.001500	25078.125000	0.001259	0.003804	71.681854	0.004007	
0.450000	0.001500	22359.375000	0.001185	0.003446	71.029396	0.003644	
0.450000	0.001500	19921.875000	0.001121	0.003101	70.129654	0.003297	
0.450000	0.001500	17765.625000	0.001059	0.002793	69.226479	0.002987	
0.450000	0.001500	15890.625000	0.001002	0.002520	68.306152	0.002712	
0.450000	0.001500	14109.375000	0.000957	0.002244	66.904434	0.002440	
0.450000	0.001500	12609.375000	0.000925	0.002015	65.336334	0.002217	
0.450000	0.001500	11203.125000	0.000891	0.001782	63.437405	0.001992	
0.450000	0.001500	9984.375000	0.000867	0.001588	61.372307	0.001809	
